model,MAE,RMSE,R2
Extra Trees,4179146.3866573647,11036730.746687079,0.8650260082613421
Random Forest,4369535.640563314,11381836.821771372,0.8564530706892206
KNN Regressor,4457606.863794728,11520147.365709333,0.8529431476289852
Gradient Boosting,5369885.866104356,11383392.746884758,0.8564138215694359
Decision Tree,5466354.424557072,14195657.339523744,0.776704376047872
Linear Regression,6862348.587941942,12301726.888940986,0.8323122417698039
ElasticNet,7199760.187797107,12605382.011652557,0.8239316800559223
SVR,14572978.876167826,31790895.732173856,-0.11988834825992245
